title,description,duration,languages,speaker_occupation,tags,views,success,comments
How humans could evolve to survive in space,"If we hope to one day leave Earth and explore the universe, our bodies are going to have to get a lot better at surviving the harsh conditions of space. Using synthetic biology, Lisa Nip hopes to harness special powers from microbes on Earth -- such as the ability to withstand radiation -- to make humans more fit for exploring space. ""We're approaching a time during which we'll have the capacity to decide our own genetic destiny,"" Nip says. ""Augmenting the human body with new abilities is no longer a question of how, but of when.""",771,26,Synthetic biologist ,"['Planets', 'TEDx', 'astrobiology', 'bacteria', 'biology', 'engineering', 'environment', 'evolution', 'exploration', 'future', 'innovation', 'intelligence', 'microbiology', 'nature', 'potential', 'science']",1468353,1,92
Hunting for dinosaurs showed me our place in the universe,What happens when you discover a dinosaur? Paleontologist Kenneth Lacovara details his unearthing of Dreadnoughtus -- a 77-million-year-old sauropod that was as tall as a two-story house and as heavy as a jumbo jet -- and considers how amazingly improbable it is that a tiny mammal living in the cracks of the dinosaur world could evolve into a sentient being capable of understanding these magnificent creatures. Join him in a celebration of the Earth's geological history and contemplate our place in deep time.,949,24,Paleontologist,"['TED Books', 'adventure', 'ancient world', 'animals', 'asteroid', 'dinosaurs', 'environment', 'exploration', 'geology', 'history', 'humanity', 'nature', 'paleontology', 'science', 'universe']",1426970,1,48
The world's oldest living things,"Rachel Sussman shows photographs of the world's oldest continuously living organisms -- from 2,000-year-old brain coral off Tobago's coast to an ""underground forest"" in South Africa that has lived since before the dawn of agriculture.",848,28,"Artist, photographer","['biodiversity', 'biology', 'environment', 'life', 'nature', 'photography', 'trees']",1424250,1,175
Your kids might live on Mars. Here's how they'll survive,"It sounds like science fiction, but journalist Stephen Petranek considers it fact: within 20 years, humans will live on Mars. In this provocative talk, Petranek makes the case that humans will become a spacefaring species and describes in fascinating detail how we'll make Mars our next home. ""Humans will survive no matter what happens on Earth,"" Petranek says. ""We will never be the last of our kind.""",1034,25,Technology forecaster ,"['Mars', 'NASA', 'TED Books', 'architecture', 'climate change', 'engineering', 'environment', 'exploration', 'future', 'global issues', 'humanity', 'industrial design', 'invention', 'life', 'population', 'potential', 'prediction', 'rocket science', 'science', 'solar system', 'space', 'technology', 'transportation']",1419325,1,139
My wish: Build the Encyclopedia of Life,"As E.O. Wilson accepts his 2007 TED Prize, he makes a plea on behalf of all creatures that we learn more about our biosphere -- and build a networked encyclopedia of all the world's knowledge about life.",1355,26,Biologist,"['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']",1335732,1,89
How we can make crops survive without water,"As the world's population grows and the effects of climate change come into sharper relief, we'll have to feed more people using less arable land. Molecular biologist Jill Farrant studies a rare phenomenon that may help: ""resurrection plants"" -- super-resilient plants that seemingly come back from the dead. Could they hold promise for growing food in our coming hotter, drier world?",836,25,Professor of molecular and cell biology,"['Africa', 'Bioethics', 'agriculture', 'biology', 'biotech', 'botany', 'chemistry', 'climate change', 'environment', 'food', 'garden', 'genetics', 'global issues', 'microbiology', 'nature', 'plants', 'potential', 'science', 'sustainability', 'water', 'weather']",1332162,1,52
How to grow a forest in your backyard,"Forests don't have to be far-flung nature reserves, isolated from human life. Instead, we can grow them right where we are -- even in cities. Eco-entrepreneur and TED Fellow Shubhendu Sharma grows ultra-dense, biodiverse mini-forests of native species in urban areas by engineering soil, microbes and biomass to kickstart natural growth processes. Follow along as he describes how to grow a 100-year-old forest in just 10 years, and learn how you can get in on this tiny jungle party.",551,36,Eco-entrepreneur,"['Natural resources', 'TED Fellows', 'botany', 'cities', 'design', 'ecology', 'engineering', 'entrepreneur', 'environment', 'future', 'garden', 'global development', 'green', 'microbes', 'microbiology', 'nature', 'plants', 'science', 'sustainability', 'trees', 'urban planning']",1320671,1,59
A forgotten Space Age technology could change how we grow food,"We're heading for a world population of 10 billion people -- but what will we all eat? Lisa Dyson rediscovered an idea developed by NASA in the 1960s for deep-space travel, and it could be a key to reinventing how we grow food.",715,24,Sustainability crusader,"['agriculture', 'astrobiology', 'bacteria', 'big problems', 'business', 'environment', 'farming', 'food', 'future', 'global issues', 'innovation', 'life', 'microbes', 'microbiology', 'nature', 'science', 'technology']",1258539,1,65
Why I must speak out about climate change,Top climate scientist James Hansen tells the story of his involvement in the science of and debate over global climate change. In doing so he outlines the overwhelming evidence that change is happening and why that makes him deeply worried about the future.,1071,30,Climatologist,"['big problems', 'climate change', 'environment', 'global issues', 'science']",1243930,1,844
What can save the rainforest? Your used cell phone,"The sounds of the rainforest include: the chirps of birds, the buzz of cicadas, the banter of gibbons. But in the background is the almost-always present sound of a chainsaw, from illegal loggers. Engineer Topher White shares a simple, scalable way to stop this brutal deforestation — that starts with your old cell phone.",570,30,Conservation technologist,"['climate change', 'environment', 'technology', 'trees']",1243218,1,83
Our campaign to ban plastic bags in Bali,"Plastic bags are essentially indestructible, yet they're used and thrown away with reckless abandon. Most end up in the ocean, where they pollute the water and harm marine life; the rest are burned in garbage piles, where they release harmful dioxins into the atmosphere. Melati and Isabel Wijsen are on a mission to stop plastic bags from suffocating their beautiful island home of Bali. Their efforts -- including petitions, beach cleanups, even a hunger strike -- paid off when they convinced their governor to commit to a plastic bag-free Bali by 2018. ""Don't ever let anyone tell you that you're too young or you won't understand,"" Isabel says to other aspiring activists. ""We're not telling you it's going to be easy. We're telling you it's going to be worth it.""",660,29,Activists,"['activism', 'big problems', 'consumerism', 'education', 'environment', 'future', 'global development', 'materials', 'oceans', 'plastic', 'pollution', 'sustainability', 'youth']",1219306,1,105
Two young scientists break down plastics with bacteria,"Once it's created, plastic (almost) never dies. While in 12th grade Miranda Wang and Jeanny Yao went in search of a new bacteria to biodegrade plastic -- specifically by breaking down phthalates, a harmful plasticizer. They found an answer surprisingly close to home.",560,32,Science fair winners,"['bacteria', 'biology', 'ecology', 'environment', 'green', 'microbes', 'microbiology', 'oceans', 'plastic', 'pollution', 'sanitation', 'science', 'youth']",1212774,1,153
How we're harnessing nature's hidden superpowers,"What do you get when you combine the strongest materials from the plant world with the most elastic ones from the insect kingdom? Super-performing materials that might transform ... everything. Nanobiotechnologist Oded Shoseyov walks us through examples of amazing materials found throughout nature, in everything from cat fleas to sequoia trees, and shows the creative ways his team is harnessing them in everything from sports shoes to medical implants.",801,21,Nanobiotechnologist,"['DNA', 'animals', 'biodiversity', 'biology', 'biomechanics', 'biotech', 'books', 'collaboration', 'design', 'environment', 'evolution', 'future', 'genetics', 'innovation', 'life', 'materials', 'nature', 'plants', 'science', 'technology']",1211098,1,20
The boiling river of the Amazon,"When Andrés Ruzo was a young boy in Peru, his grandfather told him a story with an odd detail: There is a river, deep in the Amazon, which boils as if a fire burns below it. Twelve years later, after training as a geoscientist, he set out on a journey deep into the jungle of South America in search of this boiling river. At a time when everything seems mapped and measured, join Ruzo as he explores a river that forces us to question the line between known and unknown ... and reminds us that there are great wonders yet to be discovered.",949,21,Geoscientist,"['Bioethics', 'South America', 'adventure', 'beauty', 'chemistry', 'ecology', 'environment', 'exploration', 'geology', 'motivation', 'nature', 'rivers', 'science']",1198546,1,42
The case for fish farming,"We're headed towards a global food crisis: Nearly 3 billion people depend on the ocean for food, and at our current rate we already take more fish from the ocean than it can naturally replace. In this fact-packed, eye-opening talk, entrepreneur and conservationist Mike Velings proposes a solution: Aquaculture, or fish farming. ""We must start using the ocean as farmers instead of hunters,"" he says, echoing Jacques Cousteau. ""The day will come where people will demand farmed fish on their plates that's farmed well and farmed healthy -- and refuse anything less.""",918,22,Entrepreneur and conservationist,"['big problems', 'biodiversity', 'business', 'consumerism', 'ecology', 'environment', 'fish', 'food', 'global issues', 'innovation', 'mission blue', 'oceans', 'sustainability']",1184159,1,110
A provocative way to finance the fight against climate change,"Will we do whatever it takes to fight climate change? Back in 2008, following the global financial crisis, governments across the world adopted a ""whatever it takes"" commitment to monetary recovery, issuing $250 billion worth of international currency to stem the collapse of the economy. In this delightfully wonky talk, financial expert Michael Metcalfe suggests we can use that very same unconventional monetary tool to fund a global commitment to a green future.",772,17,Financial expert,"['big problems', 'business', 'climate change', 'economics', 'environment', 'finance', 'future', 'global issues', 'government', 'money', 'policy', 'pollution', 'sustainability']",1184083,1,40
Climate change is happening. Here's how we adapt,"Imagine the hottest day you've ever experienced. Now imagine it's six, 10 or 12 degrees hotter. According to climate researcher Alice Bows-Larkin, that's the type of future in store for us if we don't significantly cut our greenhouse gas emissions now. She suggests that it's time we do things differently—a whole system change, in fact—and seriously consider trading economic growth for climate stability.",863,22,Climate scholar,"['big problems', 'climate change', 'economics', 'energy', 'future', 'global issues', 'green', 'infrastructure', 'policy', 'pollution', 'science', 'social change', 'sustainability']",1158020,1,164
Leather and meat without killing animals,"By 2050, it will take 100 billion land animals to provide the world's population with meat, dairy, eggs and leather goods. Maintaining this herd will take a huge, potentially unsustainable toll on the planet. What if there were a different way? In this eye-opening talk, tissue engineering advocate Andras Forgacs argues that biofabricating meat and leather is a civilized way to move past killing animals for hamburgers and handbags.",542,39,Bioprinting entrepreneur,"['Bioethics', 'activism', 'agriculture', 'animals', 'conservation', 'environment', 'fashion', 'food', 'future', 'global issues', 'innovation', 'materials', 'medical research', 'molecular biology', 'science', 'social change', 'sustainability', 'synthetic biology']",1151214,1,463
The emergent patterns of climate change,"You can't understand climate change in pieces, says climate scientist Gavin Schmidt. It's the whole, or it's nothing. In this illuminating talk, he explains how he studies the big picture of climate change with mesmerizing models that illustrate the endlessly complex interactions of small-scale environmental events.",730,24,Climate scientist,"['algorithm', 'botany', 'climate change', 'code', 'computers', 'data', 'ecology', 'environment', 'future', 'green', 'math', 'pollution', 'prediction', 'science', 'visualizations', 'water', 'weather']",1150409,1,143
A robot that eats pollution,"Meet the ""Row-bot,"" a robot that cleans up pollution and generates the electricity needed to power itself by swallowing dirty water. Roboticist Jonathan Rossiter explains how this special swimming machine, which uses a microbial fuel cell to neutralize algal blooms and oil slicks, could be a precursor to biodegradable, autonomous pollution-fighting robots.",850,16,Roboticist,"['TEDx', 'animals', 'biomechanics', 'chemistry', 'climate change', 'design', 'engineering', 'environment', 'future', 'innovation', 'insects', 'invention', 'microbes', 'nature', 'oceans', 'oil', 'pollution', 'robots', 'science', 'technology', 'water']",1107711,1,44
Chemical scum that dream of distant quasars,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.",1140,29,Quantum physicist,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",1096862,1,184
Drawings that show the beauty and fragility of Earth,"Zaria Forman's large-scale compositions of melting glaciers, icebergs floating in glassy water and waves cresting with foam explore moments of transition, turbulence and tranquility. Join her as she discusses the meditative process of artistic creation and the motivation behind her work. ""My drawings celebrate the beauty of what we all stand to lose,"" she says. ""I hope they can serve as records of sublime landscapes in flux.""",434,35,Artist,"['adventure', 'art', 'beauty', 'big problems', 'climate change', 'exploration', 'glacier', 'meditation', 'nature', 'oceans', 'sustainability', 'visualizations', 'water']",1078782,1,34
"To solve old problems, study new species","Nature is wonderfully abundant, diverse and mysterious -- but biological research today tends to focus on only seven species, including rats, chickens, fruit flies and us. We're studying an astonishingly narrow sliver of life, says biologist Alejandro Sánchez Alvarado, and hoping it'll be enough to solve the oldest, most challenging problems in science, like cancer. In this visually captivating talk, Alvarado calls on us to interrogate the unknown and shows us the remarkable discoveries that surface when we do.",759,20,Developmental and regeneration biologist,"['TEDx', 'animals', 'beauty', 'biodiversity', 'biology', 'biomechanics', 'biosphere', 'creativity', 'curiosity', 'discovery', 'education', 'environment', 'exploration', 'illness', 'innovation', 'intelligence', 'life', 'medical research', 'medicine', 'nature', 'neuroscience', 'oceans', 'physiology', 'science']",1059199,1,43
My country will be underwater soon -- unless we work together,"For the people of Kiribati, climate change isn't something to be debated, denied or legislated against -- it's an everyday reality. The low-lying Pacific island nation may soon be underwater, thanks to rising sea levels. In a personal conversation with TED Curator Chris Anderson, Kiribati President Anote Tong discusses his country's present climate catastrophe and its imperiled future. ""In order to deal with climate change, there's got to be sacrifice. There's got to be commitment,"" he says. ""We've got to tell people that the world has changed.""",1275,22,President of the Republic of Kiribati,"['big problems', 'climate change', 'environment', 'fish', 'future', 'global issues', 'humanity', 'mission blue', 'natural disaster', 'oceans', 'policy', 'pollution', 'science', 'social change']",1054718,1,65
How pollution is changing the ocean's chemistry,"As we keep pumping carbon dioxide into the atmosphere, more of it is dissolving in the oceans, leading to drastic changes in the water's chemistry. Triona McGrath researches this process, known as ocean acidification, and in this talk she takes us for a dive into an oceanographer's world. Learn more about how the ""evil twin of climate change"" is impacting the ocean -- and the life that depends on it.",543,21,Chemical oceanographer,"['TEDx', 'animals', 'biodiversity', 'biology', 'biosphere', 'chemistry', 'climate change', 'environment', 'future', 'nature', 'oceans', 'pollution', 'science', 'water']",1052652,1,33
What rivers can tell us about the earth's history,"Rivers are one of nature's most powerful forces -- they bulldoze mountains and carve up the earth, and their courses are constantly moving. Understanding how they form and how they'll change is important for those that call their banks and deltas home. In this visual-packed talk, geoscientist Liz Hajek shows us how rocks deposited by ancient rivers can be used as a time machine to study the history of the earth, so we can figure out how to more sustainably live on it today.",668,12,Geoscientist,"['TEDx', 'ancient world', 'climate change', 'environment', 'nature', 'rivers', 'science', 'water']",1031716,1,12
A small country with big ideas to get rid of fossil fuels,"How do we build a society without fossil fuels? Using her native Costa Rica as an example of positive action on environmental protection and renewables, climate advocate Monica Araya outlines a bold vision for a world committed to clean energy in all sectors.",952,30,Climate advocate,"['Natural resources', 'activism', 'alternative energy', 'climate change', 'collaboration', 'communication', 'community', 'environment', 'future', 'global development', 'global issues', 'history', 'humanity', 'infrastructure', 'innovation', 'law', 'nature', 'policy', 'pollution', 'social change', 'transportation']",1018830,1,74
4 ways we can avoid a catastrophic drought,"As the world's climate patterns continue to shift unpredictably, places where drinking water was once abundant may soon find reservoirs dry and groundwater aquifers depleted. In this talk, civil and environmental engineer David Sedlak shares four practical solutions to the ongoing urban water crisis. His goal: to shift our water supply towards new, local sources of water and create a system that is capable of withstanding any of the challenges climate change may throw at us in the coming years.",817,21,Civil and environmental engineer,"['TEDx', 'chemistry', 'climate change', 'design', 'engineering', 'environment', 'future', 'global issues', 'industrial design', 'infrastructure', 'innovation', 'population', 'public health', 'sustainability', 'urban planning', 'water']",1013976,1,43
Nature is everywhere -- we just need to learn to see it,"How do you define ""nature?"" If we define it as that which is untouched by humans, then we won't have any left, says environmental writer Emma Marris. She urges us to consider a new definition of nature -- one that includes not only pristine wilderness but also the untended patches of plants growing in urban spaces -- and encourages us to bring our children out to touch and tinker with it, so that one day they might love and protect it.",952,23,Environmental writer,"['Anthropocene', 'Natural resources', 'agriculture', 'animals', 'biodiversity', 'children', 'climate change', 'ecology', 'environment', 'garden', 'green', 'life', 'nature', 'parenting', 'plants', 'sustainability', 'teaching', 'trees']",990075,0,30
"When I die, recompose me","What if our bodies could help grow new life after we die, instead of being embalmed and buried or turned to ash? Join Katrina Spade as she discusses ""recomposition"" -- a system that uses the natural decomposition process to turn our deceased into life-giving soil, honoring both the earth and the departed.",777,15,"Inventor, designer, death care advocate","['TEDx', 'architecture', 'bacteria', 'biosphere', 'death', 'ecology', 'environment', 'green', 'life', 'microbes', 'nature', 'sustainability']",977590,0,41
How human noise affects ocean habitats,"Oceanographer Kate Stafford lowers us into the sonically rich depths of the Arctic Ocean, where ice groans, whales sing to communicate over vast distances -- and climate change and human noise threaten to alter the environment in ways we don't understand. Learn more about why this underwater soundscape matters and what we might do to protect it.",711,15,Oceanographer,"['Anthropocene', 'Senses', 'TEDx', 'animals', 'beauty', 'biodiversity', 'biology', 'biosphere', 'climate change', 'communication', 'environment', 'nature', 'oceans', 'science', 'sound', 'vocals', 'water']",975412,0,15
Let's save the last pristine continent,"2041 will be a pivotal year for our planet. That year will mark the end of a 50-year agreement to keep Antarctica, the Earth’s last pristine continent, free of exploitation. Explorer Robert Swan — the first person to walk both the North and South Poles — is on a mission to ensure that we extend that treaty. With passion and vigor, he pleads with us to choose the preservation of the Antarctic for our own survival.",962,25,Polar explorer,"['climate change', 'environment', 'exploration']",972816,0,32
"Clues to prehistoric times, found in blind cavefish","TED Fellow Prosanta Chakrabarty explores hidden parts of the world in search of new species of cave-dwelling fish. These subterranean creatures have developed fascinating adaptations, and they provide biological insights into blindness as well as geological clues about how the continents broke apart million of years ago. Contemplate deep time in this short talk.",289,32,Ichthyologist,"['Blindness', 'DNA', 'TED Fellows', 'ancient world', 'animals', 'biodiversity', 'biology', 'biomechanics', 'brain', 'curiosity', 'ecology', 'environment', 'evolution', 'exploration', 'fish', 'history', 'life', 'nature', 'science', 'sight', 'time']",971212,0,30
Why I still have hope for coral reefs,"Corals in the Pacific Ocean have been dying at an alarming rate, particularly from bleaching brought on by increased water temperatures. But it's not too late to act, says TED Fellow Kristen Marhaver. She points to the Caribbean -- given time, stable temperatures and strong protection, corals there have shown the ability to survive and recover from trauma. Marhaver reminds us why we need to keep working to protect the precious corals we have left. ""Corals have always been playing the long game,"" she says, ""and now so are we.""",434,12,Coral reef biologist,"['TED Fellows', 'animals', 'biology', 'climate change', 'environment', 'exoskeleton', 'microbiology', 'nature', 'oceans', 'pollution', 'science', 'water']",956539,0,17
We're covered in germs. Let's design for that.,"Our bodies and homes are covered in microbes -- some good for us, some bad for us. As we learn more about the germs and microbes who share our living spaces, TED Fellow Jessica Green asks: Can we design buildings that encourage happy, healthy microbial environments?",523,29,Engineer and biodiversity scientist,"['TED Fellows', 'architecture', 'biodiversity', 'biology', 'climate change', 'collaboration', 'data', 'design', 'ecology', 'environment', 'health', 'microbes', 'microbiology', 'science', 'sustainability', 'visualizations']",955827,0,91
Hooked by an octopus,"Underwater filmmaker Mike deGruy has spent decades looking intimately at the ocean. A consummate storyteller, he takes the stage at Mission Blue to share his awe and excitement -- and his fears -- about the blue heart of our planet.",1092,26,Filmmaker,"['activism', 'adventure', 'animals', 'biodiversity', 'biology', 'climate change', 'ecology', 'entertainment', 'environment', 'evolution', 'exploration', 'film', 'fish', 'global issues', 'nature', 'oceans', 'pollution', 'science', 'science and art', 'submarine']",940841,0,136
Mining minerals from seawater,"The world needs clean water, and more and more, we're pulling it from the oceans, desalinating it, and drinking it. But what to do with the salty brine left behind? In this intriguing short talk, TED Fellow Damian Palin proposes an idea: Mine it for other minerals we need, with the help of some collaborative metal-munching bacteria.",181,40,Biological miner,"['Natural resources', 'TED Fellows', 'bacteria', 'biology', 'biotech', 'chemistry', 'environment', 'innovation', 'mining', 'molecular biology', 'oceans', 'science', 'sustainability', 'technology', 'water']",940703,0,104
Why I love vultures,"As natural garbage collectors, vultures are vital to our ecosystem -- so why all the bad press? Why are so many in danger of extinction? Raptor biologist Munir Virani says we need to pay more attention to these unique and misunderstood creatures, to change our perception and save the vultures.",401,33,"Raptor biologist, wildlife photographer","['Africa', 'Egypt', 'adventure', 'animals', 'bacteria', 'biodiversity', 'biology', 'birds', 'conservation', 'ecology', 'environment', 'history', 'nature', 'pollution', 'science', 'wind energy']",926948,0,74
Can clouds buy us more time to solve climate change?,"Climate change is real, case closed. But there's still a lot we don't understand about it, and the more we know the better chance we have to slow it down. One still-unknown factor: How might clouds play a part? There's a small hope that they could buy us some time to fix things ... or they could make global warming worse. Climate scientist Kate Marvel takes us through the science of clouds and what it might take for Earth to break its own fever.",787,10,Climate scientist,"['Anthropocene', 'biosphere', 'climate change', 'environment', 'future', 'nature', 'science', 'water']",907844,0,26
Dive into an ocean photographer's world,"Somersaulting manta rays, dashing dolphins, swarming schools of fish and munching sharks inhabit a world beneath the ocean's surface that few get a chance to see. Conservation photographer Thomas Peschak visits incredible seascapes around the world, and his photos reveal these hidden ecosystems. ""You can't love something and become a champion for it if you don't know it exists,"" he says. Join Peschak in a new, immersive TED Talk format as he shares his stunning work and his dream for a future of respectful coexistence with the ocean.",610,30,Conservation photographer,"['adventure', 'animals', 'beauty', 'biodiversity', 'conservation', 'curiosity', 'ecology', 'environment', 'exploration', 'fish', 'future', 'global issues', 'mission blue', 'nature', 'oceans', 'photography', 'science and art', 'sustainability', 'water']",901880,0,36
"For more wonder, rewild the world","Wolves were once native to the US' Yellowstone National Park -- until hunting wiped them out. But when, in 1995, the wolves began to come back (thanks to an aggressive management program), something interesting happened: the rest of the park began to find a new, more healthful balance. In a bold thought experiment, George Monbiot imagines a wilder world in which humans work to restore the complex, lost natural food chains that once surrounded us.",910,26,Rewilding campaigner,"['activism', 'animals', 'biodiversity', 'climate change', 'community', 'conservation', 'deextinction', 'ecology', 'environment', 'oceans', 'science', 'sustainability']",887823,0,166
Hopeful lessons from the battle to save rainforests,"""Save the rainforest"" is an environmental slogan as old as time — but Tasso Azevedo catches us up on how the fight is actually going these days. Spurred by the jaw-dropping losses of the 1990s, new laws (and transparent data) are helping slow the rate of deforestation in Brazil. Is it enough? Not yet. He has five ideas about what we should do next. And he asks if the lessons learned in Brazil could be applied to an even bigger problem: global climate change.",916,25,Forester and sustainability activist,"['climate change', 'conservation', 'ecology', 'environment', 'green', 'plants', 'politics', 'science', 'social change', 'sustainability', 'trees']",877692,0,22
Swim with the giant sunfish,"Marine biologist Tierney Thys asks us to step into the water to visit the world of the Mola mola, or giant ocean sunfish. Basking, eating jellyfish and getting massages, this behemoth offers clues to life in the open sea.",1001,22,Marine biologist,"['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']",870412,0,87
Life in Biosphere 2,Jane Poynter tells her story of living two years and 20 minutes in Biosphere 2 -- an experience that provoked her to explore how we might sustain life in the harshest of environments.,953,27,Biospherian,"['TEDx', 'adventure', 'biotech', 'climate change', 'ecology', 'environment', 'space']",843719,0,103
Art made of the air we breathe,"Emily Parsons-Lord re-creates air from distinct moments in Earth's history -- from the clean, fresh-tasting air of the Carboniferous period to the soda-water air of the Great Dying to the heavy, toxic air of the future we're creating. By turning air into art, she invites us to know the invisible world around us. Breathe in the Earth's past and future in this imaginative, trippy talk.",649,19,Artist,"['Anthropocene', 'TEDx', 'ancient world', 'animals', 'art', 'biosphere', 'demo', 'dinosaurs', 'environment', 'future', 'global issues', 'history', 'life', 'nature', 'performance art', 'pollution']",827288,0,14
Salvation (and profit) in greentech,"""I don't think we're going to make it,"" John Doerr says in an emotional talk about climate change and investment. To create a world fit for his daughter to live in, he says, we need to invest now in clean, green energy.",1072,20,Venture capitalist,"['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']",805111,0,295
